nom sede IPS,nit IPS ,naturaleza,num digito_verificion,num nivel atencion,nom grupo capacidad ,nom descripcion capacidad ,num cantidad capacidad instalada
HOSPITAL ARROZ BARATO,806010305,Pública,8,1,CAMAS,Obstetricia,2
CEMIC - CLINICA DE SALUD MENTAL,806009230,Privada,2,,CAMAS,Farmacodependencia,2
"CEMIC - CLINICA DE SALUD MENTAL SEDE ""LA ROCA""",806009230,Privada,2,,CAMAS,Cuidado Agudo Mental,2
HOSPITAL INFANTIL NAPOLEON FRANCO PAREJA,890480135,Privada,3,,SALAS,Procedimientos,2
GESTION SALUD - AMBERES,806015201,Privada,3,,SALAS,Quirófano,2
GESTION SALUD-SAN FERNANDO,806015201,Privada,3,,SALAS,Quirófano,2
CLINICA LA ERMITA DE CARTAGENA,830509497,Privada,4,,CAMAS,Pediátrica,2
CLINICA LA ERMITA DE CARTAGENA,830509497,Privada,4,,SALAS,Quirófano,2
UNIDAD VISUAL OPTICARIBE S.A.,802023912,Privada,0,,SALAS,Procedimientos,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DEL CARIBE,900042103,Pública,5,3,SALAS,Procedimientos,2
ESTRIOS SAS,806011261,Privada,7,,CAMAS,Adultos,2
ESTRIOS SAS,806011261,Privada,7,,SALAS,Quirófano,2
CLINICA CARDIONCOLOGICA SAN PEDRO CLAVER,900103906,Privada,5,,CAMAS,Cuidado Intermedio Adulto,2
CLINICA GENERAL DEL CARIBE S.A.,900233294,Privada,3,,CAMAS,Cuidado Intermedio Neonatal,2
CLINICA GENERAL DEL CARIBE S.A.,900233294,Privada,3,,SALAS,Procedimientos,2
CLINICA HIGEA IPS S.A.,900027397,Privada,0,,CAMAS,Cuidado Intermedio Neonatal,2
CLINICA HIGEA IPS S.A.,900027397,Privada,0,,CAMAS,Cuidado básico neonatal,2
CLINICA HIGEA IPS S.A.,900027397,Privada,0,,SALAS,Quirófano,2
FUNDACION CENTRO COLOMBIANO DE EPILEPSIA Y ENFERMEDADES NEUROLOGICAS,900269029,Privada,3,,CAMAS,Cuidado Intensivo Adulto,2
SOCIEDAD SAN JOSE DE TORICES S.A,900304958,Privada,0,,CAMAS,Cuidado Intermedio Adulto,2
SOCIEDAD SAN JOSE DE TORICES S.A,900304958,Privada,0,,SALAS,Quirófano,2
CLINICA SOL DE LAS AMERICAS,900492937,Privada,0,,SALAS,Quirófano,2
CLINICA NUESTRA SEDE CARTAGENA,805023423,Privada,1,,SALAS,Quirófano,2
ArtDent Odontologia Especializada Ejecutivos,900570379,Privada,5,,SALAS,Procedimientos,2
CLINICA BARU,900600550,Privada,9,,SALAS,Quirófano,2
REALDENT,900793125,Privada,9,,SALAS,Procedimientos,2
UCI SAN RAFAEL ARCANGEL,900949079,Privada,1,,CAMAS,Cuidado Intermedio Neonatal,2
CENTRO DE ATENCION BASICA EL GUAMO,900196346,Pública,9,2,CAMAS,Adultos,2
ESE CENTRO DE SALUD CON CAMAS EL PEÑON BOLIVAR,806011087,Pública,1,1,CAMAS,Obstetricia,2
ESE HOSPITAL HATILLO DE LOBA,806013761,Pública,7,1,CAMAS,Pediátrica,2
ESE HOSPITAL HATILLO DE LOBA,806013761,Pública,7,1,CAMAS,Obstetricia,2
ESE HOSPITAL HATILLO DE LOBA,806013761,Pública,7,1,SALAS,Quirófano,2
IPS NUEVO SER S.A.S,900845213,Privada,3,,SALAS,Procedimientos,2
E.S.E. HOSPITAL LOCAL MAHATES,806007880,Pública,0,1,CAMAS,Pediátrica,2
CENTRO DE SALUD FAMILIAR MALAGANA,806007880,Pública,0,1,CAMAS,Adultos,2
CENTRO DE SALUD MARGARITA,806007689,Pública,1,1,CAMAS,Obstetricia,2
E.S.E HOSPITAL LOCAL MARIA LA BAJA,806010788,Pública,1,1,SALAS,Partos,2
FUNDACION SOLIDARIA I.P.S,812004371,Privada,1,,SALAS,Quirófano,2
puesto de salud rosas de manpujan,806010788,Pública,1,1,SALAS,Procedimientos,2
ESE CENTRO DE SALUD CON CAMAS DE MONTECRISTO,806008930,Pública,5,1,CAMAS,Obstetricia,2
PUESTO DE SALUD BODEGA CENTRAL,806007002,Pública,0,1,CAMAS,Obstetricia,2
ESE HOSPITAL SAN SEBASTIAN,806007002,Pública,0,1,CAMAS,Obstetricia,2
ESE HOSPITAL LOCAL LA CANDELARIA,806008153,Pública,9,1,CAMAS,Obstetricia,2
UNIDAD OPERATIVA LOCAL SAN ROQUE DE SAN CRISTOBAL,806001061,Pública,8,2,CAMAS,Obstetricia,2
E.S.E. HOSPITAL LOCAL ANA MARIA RODRIGUEZ DE SAN ESTANISLAO DE KOTSKA,806007238,Pública,1,1,CAMAS,Adultos,2
E.S.E. HOSPITAL LOCAL ANA MARIA RODRIGUEZ DE SAN ESTANISLAO DE KOTSKA,806007238,Pública,1,1,SALAS,Procedimientos,2
ESE HOSPITAL LOCAL SANFERNANDO BOLIVAR,806007689,Pública,1,1,CAMAS,Obstetricia,2
E.S.E. CENTRO DE SALUD CON CAMA DE SAN JACINTO DEL CAUCA,806014499,Pública,6,1,CAMAS,Pediátrica,2
E.S.E. CENTRO DE SALUD CON CAMA DE SAN JACINTO DEL CAUCA,806014499,Pública,6,1,CAMAS,Obstetricia,2
E.S.E. CENTRO DE SALUD CON CAMAS VITELIO SARA CASTILLO,806007780,Pública,2,1,CAMAS,Pediátrica,2
E.S.E. CENTRO DE SALUD CON CAMAS VITELIO SARA CASTILLO,806007780,Pública,2,1,CAMAS,Adultos,2
E.S.E. CENTRO DE SALUD CON CAMAS VITELIO SARA CASTILLO,806007780,Pública,2,1,CAMAS,Obstetricia,2
ESE HOSPITAL LOCAL DE TALAIGUA,806007464,Pública,1,1,CAMAS,Obstetricia,2
ESE HOSPITAL SAN JUAN DE PUERTO RICO,806007567,Pública,1,1,CAMAS,Pediátrica,2
ESE HOSPITAL SAN JUAN DE PUERTO RICO,806007567,Pública,1,1,CAMAS,Obstetricia,2
ESE HOSPITAL LOCAl TURBACO,806005602,Pública,0,1,CAMAS,Obstetricia,2
ESE HOSPITAL LOCAL TURBANA,806007817,Pública,6,1,CAMAS,Obstetricia,2
UNIDAD OPERATIVA LOCAL JOSE ISABEL VILLAREAL TORRES DE VILLANUEVA,806001061,Pública,8,2,CAMAS,Obstetricia,2
E.S.E. HOSPITAL LOCAL SAN SEBASTIAN DE ZAMBRANO,806006914,Pública,8,1,CAMAS,Obstetricia,2
ESE SALUD AQUITANIA,891855492,Pública,2,1,CAMAS,Pediátrica,2
ESE SALUD AQUITANIA,891855492,Pública,2,1,CAMAS,Obstetricia,2
SEDE CENTRO,820005389,Pública,7,2,SALAS,Quirófano,2
SEDE CENTRO,820005389,Pública,7,2,SALAS,Partos,2
HOSPITAL ESPECIAL DE CUBARA EMPRESA SOCIAL DEL ESTADO,826002304,Pública,1,1,CAMAS,Pediátrica,2
HOSPITAL ESPECIAL DE CUBARA EMPRESA SOCIAL DEL ESTADO,826002304,Pública,1,1,CAMAS,Obstetricia,2
CLINICA TUNDAMA S.A,891800023,Privada,5,,SALAS,Quirófano,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA,891855438,Pública,4,2,SALAS,Partos,2
SALUD VITAL DE COLOMBIA IPS SAS,830124110,Privada,6,,CAMAS,Cuidado Intermedio Adulto,2
SOCIEDAD CLINICA BOYACA LIMITADA,891856507,Privada,9,,CAMAS,Pediátrica,2
SOCIEDAD CLINICA BOYACA LIMITADA,891856507,Privada,9,,SALAS,Quirófano,2
Quiruclínica Horus SAS,900592618,Privada,5,,CAMAS,Adultos,2
Quiruclínica Horus SAS,900592618,Privada,5,,SALAS,Quirófano,2
E.S.E. CENTRO DE SALUD MUNICIPIO DE LABRANZAGRANDE,826002687,Pública,5,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO HOSPIATAL LAS MERCEDES DE MONGUI,826002777,Pública,1,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO HOSPIATAL LAS MERCEDES DE MONGUI,826002777,Pública,1,1,CAMAS,Obstetricia,2
HOSPITAL REGIONAL DE MONIQUIRA ESE,891800395,Pública,1,2,SALAS,Quirófano,2
ESE CENTRO DE SALUD MANUEL ELKIN PATARROYO,820004318,Pública,1,1,CAMAS,Pediátrica,2
E.S.E. HOSPITAL SAN VICENTE DE PAÚL,891855209,Pública,4,1,CAMAS,Pediátrica,2
CENTRO DE SALUD EDGAR ALONSO PULIDO SOLANO,820002916,Pública,5,1,CAMAS,Adultos,2
EMPRESA SOCIAL DEL ESTADO NUESTRA SEÑORA DEL ROSARIO DE PISBA,826002963,Pública,3,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL JOSE CAYETANO VASQUEZ,891800570,Pública,2,2,SALAS,Quirófano,2
IPS CLINITRAUMA,900678145,Privada,4,,SALAS,Procedimientos,2
ESE HOSPITAL SAN VICENTE DE RAMIRIQUÍ,891800644,Pública,9,1,CAMAS,Pediátrica,2
ESE HOSPITAL SAN VICENTE DE RAMIRIQUÍ,891800644,Pública,9,1,CAMAS,Obstetricia,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA MARTA DE SAMACA,891800335,Pública,8,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO,860060016,Pública,4,1,CAMAS,Adultos,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAGRADO CORAZON DE JESUS DE SOCHA,881862576,Pública,5,1,CAMAS,Adultos,2
ESE CENTRO DE SALUD SAN ANTONIO DE SOCOTÁ,826002060,Pública,8,1,CAMAS,Pediátrica,2
CLINICA DE ESPECIALISTAS LTDA,891856372,Privada,1,,SALAS,Quirófano,2
HOSPITAL REGIONAL DE SOGAMOSO EMPRESA SOCIAL DEL ESTADO,891855039,Pública,9,2,SALAS,Partos,2
CLÍNICA VALLE DEL SOL S.A,900103377,Privada,9,,SALAS,Quirófano,2
EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD TOCA,820003524,Pública,6,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD TOCA,820003524,Pública,6,1,CAMAS,Obstetricia,2
ASORSALUD SM LTDA,820001181,Privada,4,,CAMAS,Adultos,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL TUNJA,891800231,Pública,0,3,CAMAS,Cuidado Intermedio Pediátrico,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL TUNJA,891800231,Pública,0,3,SALAS,Partos,2
CLINICA SANTA TERESA S.A,820002033,Privada,7,,SALAS,Procedimientos,2
CLINICA MEDILASER,813001952,Privada,0,,CAMAS,Cuidado Intermedio Adulto,2
CLINICA MEDILASER,813001952,Privada,0,,SALAS,Partos,2
CLINICA POZO DONATO DE TUNJA SAS,900410792,Privada,9,,SALAS,Quirófano,2
IPS ESIMED TUNJA,800215908,Privada,8,,CAMAS,Cuidado Intermedio Neonatal,2
NATURQUALITY PLUS TUNJA,901107556,Privada,2,,SALAS,Procedimientos,2
HOSPITAL BAUDILIO ACERO DE TURMEQUE,891800857,Pública,0,1,CAMAS,Adultos,2
ESE CENTRO DE SALUD SAN RAFAEL,820003782,Pública,1,1,CAMAS,Pediátrica,2
ESE HOSPITAL SAN FRANCISCO,891800906,Pública,3,1,CAMAS,Pediátrica,2
ESE HOSPITAL SAN FRANCISCO,891800906,Pública,3,1,CAMAS,Adultos,2
ESE HOSPITAL SAN FRANCISCO,891800906,Pública,3,1,CAMAS,Obstetricia,2
ESE HOSPITAL SAN JOSE DE BELALCAZAR,800194627,Pública,1,1,CAMAS,Pediátrica,2
ESE HOSPITAL SAN JOSE DE BELALCAZAR,800194627,Pública,1,1,CAMAS,Obstetricia,2
ESE HOSPITAL SAN MARCOS,890802036,Pública,6,2,SALAS,Quirófano,2
ESE HOSPITAL SAN MARCOS,890802036,Pública,6,2,SALAS,Partos,2
ESE HOSPITAL SAN FELIX,810000913,Pública,8,2,SALAS,Partos,2
ESE HOSPITAL SAN FELIX,810000913,Pública,8,2,SALAS,Procedimientos,2
ESE HOSPITAL LA MERCED,890805203,Pública,3,1,CAMAS,Pediátrica,2
ESE HOSPITAL LA MERCED,890805203,Pública,3,1,CAMAS,Obstetricia,2
SEDE HOSPITAL INFANTIL UNIVERSITARIO,890801201,Privada,0,,CAMAS,Adultos,2
SERVICIOS ESPECIALES DE SALUD,890807591,Mixta,5,,SALAS,Partos,2
CLINICA SANTILLANA,800219192,Privada,1,,CAMAS,Pediátrica,2
CLINICA SAN CAYETANO,800044967,Pública,8,1,SALAS,Partos,2
CLINICA DE TRAUMAS Y FRACTURAS LA CAMELIA,810006843,Privada,8,,SALAS,Quirófano,2
CENTRO VISUAL MODERNO SAS N. 04,900007679,Privada,7,,SALAS,Quirófano,2
Clínica Su Vida S.A.S,900110074,Privada,1,,CAMAS,Cuidado Intermedio Adulto,2
SALUD Y ARTE EN ARMONIA S.A.S,901024533,Privada,6,,SALAS,Quirófano,2
ESE HOSPITAL SAN ANTONIO,890801699,Pública,4,1,CAMAS,Pediátrica,2
ESE HOSPITAL SAN ANTONIO,890801699,Pública,4,1,CAMAS,Obstetricia,2
ESE HOSPITAL SAN CAYETANO DE MARQUETALIA,890801274,Pública,8,1,CAMAS,Obstetricia,2
HOSPITAL SAN JOSE DE MARULANDA,890805260,Pública,3,1,CAMAS,Obstetricia,2
CENTRO DE SALUD MONTEBONITO,890805260,Pública,3,1,CAMAS,Adultos,2
HOSPITAL SAN JOSE,890801562,Pública,4,1,CAMAS,Obstetricia,2
ESE DEPARTAMENTAL HOSPITAL SAGRADO CORAZON,810000912,Pública,0,1,CAMAS,Pediátrica,2
ESE DEPARTAMENTAL HOSPITAL SAGRADO CORAZON,810000912,Pública,0,1,CAMAS,Obstetricia,2
ESE HOSPITAL SANTA TERESITA,890801517,Pública,2,1,CAMAS,Pediátrica,2
ESE HOSPITAL SANTA TERESITA,890801517,Pública,2,1,CAMAS,Obstetricia,2
HOSPITAL LOCAL SAN JUAN DE DIOS ESE,890801719,Pública,3,1,CAMAS,Pediátrica,2
CENTRO DE SALUD FLORENCIA,890802961,Pública,4,1,CAMAS,Pediátrica,2
CENTRO DE SALUD FLORENCIA,890802961,Pública,4,1,CAMAS,Adultos,2
CENTRO DE SALUD FLORENCIA,890802961,Pública,4,1,CAMAS,Obstetricia,2
CENTRO DE SALUD SAN DIEGO,890802961,Pública,4,1,CAMAS,Adultos,2
HOSPITAL SAN SIMON,890802628,Pública,6,1,CAMAS,Pediátrica,2
HOSPITAL SAN SIMON,890802628,Pública,6,1,CAMAS,Obstetricia,2
HOSPITAL SAN ANTONIO,890801944,Pública,4,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JOSE,890802978,Pública,9,1,CAMAS,Pediátrica,2
CENTRO DE SALUD ALBANIA,900211477,Pública,1,1,CAMAS,Obstetricia,2
SEDE IPS CARTAGENA DEL CHAIRA,900211460,Pública,5,1,CAMAS,Obstetricia,2
CLINICA CURILLO I.P.S. LTDA,900244869,Privada,5,,CAMAS,Pediátrica,2
SEDE IPS EL DONCELLO,900211460,Pública,5,1,CAMAS,Obstetricia,2
SEDE IPS EL PAUJIL,900211460,Pública,5,1,CAMAS,Pediátrica,2
SEDE IPS EL PAUJIL,900211460,Pública,5,1,CAMAS,Obstetricia,2
CORPORACION MEDICA DEL CAQUETA,828000073,Privada,1,,SALAS,Quirófano,2
CLINICA MEDILASER S.A. FLORENCIA,813001952,Privada,0,,CAMAS,Cuidado Intermedio Adulto,2
CENTRO DE SALUD LA MONTAÑITA,891180098,Pública,5,2,CAMAS,Adultos,2
CENTRO DE SALUD LA MONTAÑITA,891180098,Pública,5,2,CAMAS,Obstetricia,2
CENTRO DE SALUD MILAN,900211468,Pública,3,1,CAMAS,Pediátrica,2
SEDE IPS PUERTO RICO,900211460,Pública,5,1,CAMAS,Obstetricia,2
UNIDAD MEDICA SANTA SOFIA LTDA,828002453,Privada,6,,CAMAS,Pediátrica,2
CENTRO DE SALUD SAN JOSE DEL FRAGUA,900211477,Pública,1,1,CAMAS,Obstetricia,2
CENTRO DE SALUD SOLITA,900211468,Pública,3,1,CAMAS,Obstetricia,2
CENTRO DE SALUD VALPARAISO,900211468,Pública,3,1,CAMAS,Obstetricia,2
CENTRO DE SALUD DE CHAMEZA,844004197,Pública,2,1,CAMAS,Adultos,2
CENTRO DE SALUD DE HATO COROZAL,844004197,Pública,2,1,CAMAS,Pediátrica,2
CENTRO DE SALUD DE LA SALINA,844004197,Pública,2,1,CAMAS,Adultos,2
CENTRO DE SALUD DE MONTERREY,844004197,Pública,2,1,CAMAS,Pediátrica,2
CENTRO DE SALUD DE MONTERREY,844004197,Pública,2,1,CAMAS,Obstetricia,2
CENTRO DE SALUD DE NUNCHIA,844004197,Pública,2,1,CAMAS,Adultos,2
CENTRO DE SALUD DE PAZ DE ARIPORO,844004197,Pública,2,1,CAMAS,Pediátrica,2
CENTRO DE SALUD DE RECETOR,844004197,Pública,2,1,CAMAS,Adultos,2
CENTRO DE SALUD DE SABANALARGA,844004197,Pública,2,1,CAMAS,Adultos,2
CENTRO DE SALUD DE SACAMA,844004197,Pública,2,1,CAMAS,Adultos,2
CENTRO DE SALUD DE TAMARA,844004197,Pública,2,1,CAMAS,Adultos,2
CENTRO DE SALUD TRINIDAD,844004197,Pública,2,1,CAMAS,Pediátrica,2
CENTRO DE SALUD TRINIDAD,844004197,Pública,2,1,CAMAS,Obstetricia,2
HOSPITAL LOCAL DE VILLANUEVA,844004197,Pública,2,1,CAMAS,Pediátrica,2
HOSPITAL LOCAL DE VILLANUEVA,844004197,Pública,2,1,CAMAS,Obstetricia,2
HOSPITAL DE YOPAL ESE,891855029,Pública,5,2,SALAS,Partos,2
SOCIEDAD CLINICA CASANARE LTDA,891855847,Privada,3,,SALAS,Quirófano,2
SERVICIO INTEGRAL DE MEDICINA AMBULATORIA-SIMA.LINK S.A.S,900769055,Privada,0,,SALAS,Quirófano,2
GYOMEDICAL IPS S.A.S SUC YOPAL,900386591,Privada,2,,CAMAS,Cuidado Intermedio Pediátrico,2
GYOMEDICAL IPS S.A.S SUC YOPAL,900386591,Privada,2,,CAMAS,Cuidado Intensivo Pediátrico,2
CLÍNICA MEDICENTER FICUBO SAS,900685235,Privada,8,,SALAS,Quirófano,2
HOSPITAL NIVEL I DE ALMAGUER,900145572,Pública,9,1,CAMAS,Adultos,2
HOSPITAL BUENOS AIRES,900146010,Pública,6,1,CAMAS,Pediátrica,2
PUNTO DE ATENCION CALDONO,900145579,Pública,1,1,CAMAS,Pediátrica,2
PUNTO DE ATENCION CALDONO,900145579,Pública,1,1,CAMAS,Obstetricia,2
HOSPITAL LOCAL LA NIÑA MARIA DE CALOTO,900146006,Pública,6,1,CAMAS,Pediátrica,2
HOSPITAL HAROLD EDER DE CORINTO,900146006,Pública,6,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL DE EL TAMBO CAUCA,891501104,Pública,0,1,CAMAS,Pediátrica,2
EMPRESA SOCIAL DEL ESTADO HOSPITAL DE EL TAMBO CAUCA,891501104,Pública,0,1,CAMAS,Obstetricia,2
EMPRESA SOCIAL DEL ESTADO GUAPI ESE,900146012,Pública,0,1,CAMAS,Obstetricia,2
HOSPITAL LOCAL LUIS ADRIANO PEREZ,900145585,Pública,4,1,CAMAS,Obstetricia,2
HOSPITAL NIVEL I JAMBALO,900052148,Pública,9,1,CAMAS,Pediátrica,2
HOSPITAL NIVEL I JAMBALO,900052148,Pública,9,1,CAMAS,Adultos,2
HOSPITAL NIVEL I JAMBALO,900052148,Pública,9,1,CAMAS,Obstetricia,2
HOSPITAL NIVEL I DE LA VEGA,900145572,Pública,9,1,CAMAS,Adultos,2
UNIDAD NIVEL 1 LOPEZ DE MICAY,900145588,Pública,6,1,CAMAS,Pediátrica,2
UNIDAD NIVEL 1 LOPEZ DE MICAY,900145588,Pública,6,1,CAMAS,Obstetricia,2
PUNTO DE ATENCIÓN No. 3 HOSPITAL NIVEL I DE MERCADERES,900145767,Pública,8,1,CAMAS,Pediátrica,2
PUNTO DE ATENCIÓN No. 3 HOSPITAL NIVEL I DE MERCADERES,900145767,Pública,8,1,CAMAS,Adultos,2
HOSPITAL LOCAL DE MIRANDA,900146006,Pública,6,1,CAMAS,Pediátrica,2
ESE CENTRO I PUNTO DE ATENCION MORALES,900145581,Pública,5,1,CAMAS,Pediátrica,2
ESE CENTRO I PUNTO DE ATENCION MORALES,900145581,Pública,5,1,CAMAS,Obstetricia,2
CENTRO DE SALUD DE PADILLA UNIDAD NIVEL I DE PADILLA,900146438,Pública,4,1,CAMAS,Obstetricia,2
HOSPITAL SAN VICENTE DE PAUL DE BELALCAZAR,900145585,Pública,4,1,CAMAS,Adultos,2
HOSPITAL SAN VICENTE DE PAUL DE BELALCAZAR,900145585,Pública,4,1,CAMAS,Obstetricia,2
ESE CENTRO I PUNTO DE ATENCION PIENDAMO,900145581,Pública,5,1,CAMAS,Obstetricia,2
HOSPITAL SUSANA LOPEZ DE VALENCIA,891501676,Pública,1,2,SALAS,Partos,2
HOSPITAL UNIVERSITARIO SAN JOSE DE POPAYAN EMPRESA SOCIAL DEL ESTADO,891580002,Pública,5,3,CAMAS,Cuidado Intermedio Pediátrico,2
HOSPITAL UNIVERSITARIO SAN JOSE DE POPAYAN EMPRESA SOCIAL DEL ESTADO,891580002,Pública,5,3,SALAS,Partos,2
CLINICA DE SALUD MENTAL MORAVIA,817007452,Privada,1,,CAMAS,Cuidado Agudo Mental,2
HOSPITAL MARIA OCCIDENTE,900145579,Pública,1,1,CAMAS,Obstetricia,2
HOSPITAL TORIBIO MAYA,900145579,Pública,1,1,CAMAS,Obstetricia,2
CLÍNICA SANTA GRACIA - DUMIAN MEDICAL S.A.S,805027743,Privada,1,,CAMAS,Cuidado Intermedio Pediátrico,2
CLÍNICA SANTA GRACIA - DUMIAN MEDICAL S.A.S,805027743,Privada,1,,CAMAS,Cuidado Intensivo Pediátrico,2
CLÍNICA SANTA GRACIA - DUMIAN MEDICAL S.A.S,805027743,Privada,1,,CAMAS,Cuidado básico neonatal,2
Medicina Domiciliaria de Colombia S.A.S.,900348416,Privada,1,,CAMAS,Adultos,2
CLINICA ESIMED POPAYAN,800215908,Privada,8,,SALAS,Quirófano,2
ORAL CARE CLINICA ODONTOLOGICA IPS SAS,900964374,Privada,0,,SALAS,Procedimientos,2
FUNDACION FUNDAR CAUCA IPS CASA MATRIZ - CENTRO DIA,900920808,Privada,6,,CAMAS,Farmacodependencia,2
FUNDACION FUNDAR CAUCA IPS CASA MATRIZ - CENTRO DIA,900920808,Privada,6,,SALAS,Procedimientos,2
IPS CLINICA PUERTO TEJADA COMFACAUCA,891500182,Privada,0,,CAMAS,Pediátrica,2
IPS CLINICA PUERTO TEJADA COMFACAUCA,891500182,Privada,0,,CAMAS,Obstetricia,2
EMPRESA SOCIAL DEL ESTADO NORTE 3 - ESE HOSPITAL DEL CINCUENTENARIO NIVEL I PUERTO TEJADA,900146438,Pública,4,1,CAMAS,Obstetricia,2
PUNTO DE ATENCION PURACE,900145579,Pública,1,1,CAMAS,Adultos,2
HOSPITAL COCONUCO,900145579,Pública,1,1,CAMAS,Pediátrica,2
HOSPITAL ROSAS,900146471,Pública,8,1,CAMAS,Pediátrica,2
HOSPITAL ROSAS,900146471,Pública,8,1,CAMAS,Adultos,2
HOSPITAL FRANCISCO DE PAULA SANTANDER E.S.E. NIVEL II,891500084,Pública,7,2,SALAS,Partos,2
HOSPITAL FRANCISCO DE PAULA SANTANDER E.S.E. NIVEL II,891500084,Pública,7,2,SALAS,Procedimientos,2
CONSEJO REGIONAL INDIGENA DEL CAUCA RIO BLANCO,817002466,Pública,1,1,CAMAS,Pediátrica,2
CONSEJO REGIONAL INDIGENA DEL CAUCA RIO BLANCO,817002466,Pública,1,1,CAMAS,Adultos,2
CONSEJO REGIONAL INDIGENA DEL CAUCA RIO BLANCO,817002466,Pública,1,1,CAMAS,Obstetricia,2
CENTRO DE SALUD DE TIMBIO,817000999,Pública,6,1,CAMAS,Obstetricia,2
UNIDAD NIVEL 1 DE TIMBIQUI,900145588,Pública,6,1,CAMAS,Pediátrica,2
UNIDAD NIVEL 1 DE TIMBIQUI,900145588,Pública,6,1,CAMAS,Obstetricia,2
HOSPITAL NIVEL I ALVARO ULCUE CHOCUE,900052148,Pública,9,1,CAMAS,Pediátrica,2
HOSPITAL NIVEL I ALVARO ULCUE CHOCUE,900052148,Pública,9,1,CAMAS,Adultos,2
HOSPITAL NIVEL I ALVARO ULCUE CHOCUE,900052148,Pública,9,1,CAMAS,Obstetricia,2
CENTRO DE SALUD TACUEYO,900052148,Pública,9,1,CAMAS,Obstetricia,2
PUNTO DE ATENCION TOTORO,900145579,Pública,1,1,CAMAS,Obstetricia,2
CLINICA DE ESPECIALISTAS MARIA AUXILIADORA S.A.S.,800197217,Privada,9,,SALAS,Quirófano,2
CLINICA MEDICA DE AGUACHICA LTDA,900008376,Privada,5,,SALAS,Quirófano,2
CLINICA CODAZZI,900345765,Privada,1,,CAMAS,Obstetricia,2
HOSPITAL AGUSTIN CODAZZI E.S.E.,892300358,Pública,5,1,CAMAS,Obstetricia,2
ESE SAN JOSE,824000425,Pública,6,1,CAMAS,Pediátrica,2
clinica regional de especialistas sinais vitais sas,900498069,Privada,1,,SALAS,Quirófano,2
CLINICA REGIONAL DE ESPECIALISTAS SINAIS VITAIS SAS,900498069,Privada,1,,SALAS,Procedimientos,2
CENTRO MATERNO INFANTIL SALOA,892300179,Pública,3,1,CAMAS,Pediátrica,2
CENTRO MATERNO INFANTIL SALOA,892300179,Pública,3,1,CAMAS,Adultos,2
HOSPITAL SAN ROQUE ESE,800119945,Pública,1,1,CAMAS,Obstetricia,2
PALMA SALUD IPS LTDA,900138309,Privada,9,,CAMAS,Pediátrica,2
CENTRO MATERNO INFANTIL DE LA LOMA,824000440,Pública,7,1,CAMAS,Pediátrica,2
CENTRO MATERNO INFANTIL DE LA LOMA,824000440,Pública,7,1,CAMAS,Adultos,2
CENTRO MATERNO INFANTIL DE LA LOMA,824000440,Pública,7,1,CAMAS,Obstetricia,2
E.S.E HOSPITAL HERNANDO QUINTERO BLANCO,824000440,Pública,7,1,CAMAS,Pediátrica,2
E.S.E HOSPITAL HERNANDO QUINTERO BLANCO,824000440,Pública,7,1,CAMAS,Adultos,2
E.S.E HOSPITAL HERNANDO QUINTERO BLANCO,824000440,Pública,7,1,CAMAS,Obstetricia,2
CLINICA MARYBAU LA LOMA LTDA,900277630,Privada,4,,CAMAS,Pediátrica,2
CLINICA MARYBAU LA LOMA LTDA,900277630,Privada,4,,CAMAS,Adultos,2
CLINICA MARYBAU LA LOMA LTDA,900277630,Privada,4,,CAMAS,Obstetricia,2
HOSPITAL OLAYA HERRERA,892300387,Pública,9,1,CAMAS,Obstetricia,2
HOSPITAL SAN JUAN CRISOSTOMO,824000472,Pública,2,1,CAMAS,Adultos,2
HOSPITAL SAN JUAN CRISOSTOMO,824000472,Pública,2,1,CAMAS,Obstetricia,2
HOSPITAL SAN JOSE ESE,892300343,Pública,5,1,CAMAS,Adultos,2
HOSPITAL MARINO ZULETA RAMIREZ E.S.E.,824000204,Pública,5,1,CAMAS,Pediátrica,2
HOSPITAL MARINO ZULETA RAMIREZ E.S.E.,824000204,Pública,5,1,SALAS,Partos,2
HOSPITAL HELI MORENO BLANCO E.S.E,800026173,Pública,0,1,CAMAS,Obstetricia,2
HOSPITAL HELI MORENO BLANCO E.S.E,800026173,Pública,0,1,SALAS,Procedimientos,2
