OBJECTID,Object_ID,Código de Habilitación,Código del Prestador,Nombre de la IPS,Dirección,Número Identificación Tributaria,Número de Fax,Clase de Prestador,Clase de Persona,Naturaleza Jurídica,Número de Teléfono,Correo Electrónico,coord_x,coord_y
1975,1975,110012468801,1100124688,IPS ACUDYR S.A.S,CALLE 55 N. 71-91,900560436,Sin Dato,Instituciones - IPS,Juridica,Privada,5474862,IPSACUDYR@HOTMAIL.COM,,
1980,1980,110011797302,1100117973,RIAR CENTRO DE MEDICINA ESTETICA Y ALTERNATIVA ROBERTO IGNACIOANGULO R COLINA CAMPESTRE,CLL 108 NO. 45 30 OF. 1301 TORRE 2,900181897,Sin Dato,Instituciones - IPS,Juridica,Privada,6402318,medico.riarsanrafael@gmail.com,,
1982,1982,110012474101,1100124741,NURSING SERVICES COLOMBIA S.A.S,CLL 74 A N 23 39 1,900548483,5406747,Instituciones - IPS,Juridica,Privada,5406747,enfermeras07nursing@gmail.com,,
1984,1984,110012475101,1100124751,Real Lax SAS,Calle 50 No. 9 - 67 Cs 321,900414310,Sin Dato,Instituciones - IPS,Juridica,Privada,2324985,info@real-lax.com,,
1986,1986,110011709305,1100117093,MISIÓN SALUD INTERNACIONAL SAS - FONTIBÓN,CARR 99 No 16 J-02,900116722,3127296,Instituciones - IPS,Juridica,Privada,4156700,mision_saludips@hotmail.com,,
1993,1993,110012480801,1100124808,ASOCIACION OTORRINOLARINGOLOGICA DEL CHICO LTDA,"CALLE 91 # 19 C 55, CONSULTORIO 604",900179702,Sin Dato,Instituciones - IPS,Juridica,Privada,"6910743, 6910785, 6911300, 6910779",orlchico@gmail.com,,
1999,1999,110011541901,1100115419,COMPAÑIA LIDER EN SALUD OCUPACIONAL,Calle 99 No 49-15,830126710,6012226,Instituciones - IPS,Juridica,Privada,7529061,gerenciageneral@liderso.com,,
2008,2008,110011087902,1100110879,EMERMEDICA VILLA ALSACIA,calle 12b No 71d-61 LC ST,800126785,Sin Dato,Instituciones - IPS,Juridica,Privada,5190219,notificaciones@emermedica.com.co,,
2014,2014,110011770818,1100117708,CITY DENT CLÍNICAS DENTALES DE COLOMBIA,CRA 80 N 55 72 SUR,900170425,7433880 EXT 109,Instituciones - IPS,Juridica,Privada,7454913,yelopu24@hotmail.com,,
2015,2015,110011830201,1100118302,LURIA CENTRO DE NEUROSICOLOGIA LTDA,CARRERA 11A # 116 - 57.,900174414,7551461,Instituciones - IPS,Juridica,Privada,7551461,lurianeuropsicologia@gmail.com,,
2025,2025,110011791001,1100117910,R Y S VACUNACIONES SAS,CL 50 # 8 24 CS 204,900171514,Sin Dato,Instituciones - IPS,Juridica,Privada,3003072965/3015492322,rysvacunaciones@gmail.com,,
2026,2026,110012495801,1100124958,REMY IPS SAS,CL 48 # 72 B 11/17,900589178,Sin Dato,Instituciones - IPS,Juridica,Privada,7022626 - 3045450569,ipsremy@gmail.com,,
2031,2031,110010922110,1100109221,SERVIMED IPS SA UNIDAD MEDICA NORTE,AVENIDA CARRERA 45 No 104 A 55,830002272,2562890,Instituciones - IPS,Juridica,Privada,2562890,direccioncalidad@servimedips.com,,
2032,2032,110012455401,1100124554,NOVOPAT SAS,CR18 N. 84 - 87 CONSULTORIO 401,900525242,Sin Dato,Instituciones - IPS,Juridica,Privada,7529700,mariacgom@hotmail.com,,
2036,2036,110011823301,1100118233,clinica orthoespecialistas chico,KR16 #96-64 CS 307,900194986,57(1)6369729,Instituciones - IPS,Juridica,Privada,57(1)6369521,recepcion@orthoespecialistas.com,,
2037,2037,110011823302,1100118233,clinica orthoespecialistas chapinero,CLL 66 #11 50 OF 303-304,900194986,57(1)3004797,Instituciones - IPS,Juridica,Privada,57(1)3004797,recepcion@orthoespecialistas.com,,
2044,2044,110010550604,1100105506,CMD SIPLAS MODELIA,Avenida Calle 24 # 74-48,860069870,Sin Dato,Instituciones - IPS,Juridica,Privada,4167518,auditor.calidad@siplaslab.com,,
2047,2047,110011829601,1100118296,Instituto llorente medicina preventiva ltda,Diagonal 54 # 16 a 10,900187715,5478870,Instituciones - IPS,Juridica,Privada,2171200,inst.llorente@gmail.com,,
2048,2048,110010958401,1100109584,Corsanemos IPS,Calle 46 No. 27 - 23,830099865,3689790,Instituciones - IPS,Juridica,Privada,3689790 - 3689787 - 4006586 - 4006587,corsanemosltda@yahoo.com,,
2050,2050,110011797401,1100117974,SBF SALUD BUCAL FAMILIAR LTDA.,CALLE 90 # 19A-49 OFICINA 301 TORRE BAMBU,900112756,6102366,Instituciones - IPS,Juridica,Privada,6235501 / 6102366,CLINICASBF@GMAIL.COM,,
2053,2053,110012509501,1100125095,ATECHDENTAL SAS,CRA 14 No. 93 - 40 OFICINAS 203-204,900306631,Sin Dato,Instituciones - IPS,Juridica,Privada,6109020 - 6114097,atechdental@hotmail.com,,
2056,2056,110012511401,1100125114,Maria Teresa Centro de Estetica Corporal,AC 53 21 62 IN 101,900587732,Sin Dato,Instituciones - IPS,Juridica,Privada,3483747,maria.teresa.estetica@gmail.com,,
2057,2057,110011840301,1100118403,FUNDACION ADRIANA VILLALBA IPS,CALLE 67 N° 14 a 14,830093182,25498130,Instituciones - IPS,Juridica,Privada,2549130,funav2009@hotmail.com,,
2070,2070,110011774425,1100117744,OPTICAS SBC LTDA CONSULTORIO,AK 72 No 80 - 94 LC 141 C.C. TITAN PLAZA,800102107,7024332,Instituciones - IPS,Juridica,Privada,7024332,opticasreport@hotmail.com,,
2072,2072,110012516201,1100125162,CAMPO ELIAS PAEZ IPS SAS,CARRERA 18 No. 84 - 11 CONSULTORIO 801,900596903,2961060,Instituciones - IPS,Juridica,Privada,2960561/3102722788,dr.eliaspaez@yahoo.com,,
2081,2081,110011545501,1100115455,FUNDACIÓN EL PACTO,KR 72 A # 49 A 50,830044345,3151151,Instituciones - IPS,Juridica,Privada,3212096435,gerencia@elpacto.org,,
2083,2083,110012522701,1100125227,CLINICA SANTA MARGARITA S.A.S.,AK 45 N°103 59,900576488,6022051,Instituciones - IPS,Juridica,Privada,6346605,SANTAMARGARITA05@HOTMAIL.COM,,
2086,2086,110011812201,1100118122,CLINICA GALVEZ CEDE PRINCIPAL,CL 70A# 90-01,900181050,2915416,Instituciones - IPS,Juridica,Privada,2915510,galvezperalta@hotmail.com,,
2090,2090,110010403508,1100104035,CENTRO ODONTOLOGICO COLMEDICA CALLE 84,CARRERA 18 # 84-06 PISO 7,830001007,3591040,Instituciones - IPS,Juridica,Privada,3147700,edgarc@colmedica.com,,
2091,2091,110012529701,1100125297,CLINICA LOS NOGALES SAS,Calle 95 N° 23-61,900291018,2574474,Instituciones - IPS,Juridica,Privada,2574474,mariapag@clinicanogales.com,,
2101,2101,110010561808,1100105618,Centro integral diagnostico de la mujer,calle 119 No. 7-14 (Segundo Piso),860037950,Sin Dato,Instituciones - IPS,Juridica,Privada,6030303,javieraromero@yahoo.com,,
2105,2105,110010683413,1100106834,RTS AGENCIA LA SOLEDAD,"CALLE 45 F No. 16A-11 PISO 3, ALA OCCIDENTE, UNIDAD RENAL",805011262,N/A,Instituciones - IPS,Juridica,Privada,5261058,sanchej@baxter.com,,
2111,2111,110010709112,1100107091,LABORATORIO DE INVESTIGACIÓN HORMONAL LIH S.A. SEDE EL LAGO,CARRERA 16A No. 77-33 CONSULTORIOS 105 Y 106,800075543,6205501- EXT 132,Instituciones - IPS,Juridica,Privada,6205501,administrador@lablih.net,,
2113,2113,110010254502,1100102545,CENTRO DE TECNOLOGIA OFTALMICA SAS SEDE COUNTRY,CRA 16 No. 84 A 09 PISO 2,860352594,Sin Dato,Instituciones - IPS,Juridica,Privada,6107799,centrodetecnologia@ctoltda.com,,
2115,2115,110010959909,1100109599,CENTRO DIAGNOSTICO - CLINICA DEL COUNTRY,CARRERA 16 No 82 - 32,830005028,5301341,Instituciones - IPS,Juridica,Privada,5300470,jospina@clinicadelcountry.com,,
2116,2116,110010778802,1100107788,CLINICA LA SABANA S.A,AVENIDA 19 NUMERO 102 - 31 LOCAL 1-4,800017308,2181204,Instituciones - IPS,Juridica,Privada,6221120,gerencia@clinicalasabana.com,,
2117,2117,110011940402,1100119404,FUNDACION UNIDAD INTEGRAL DE TOXICOLOGIA UNITOX,Carrera 50 B No. 65-61,830143946,3290647,Instituciones - IPS,Juridica,Privada,3290647,ggs.unitox@gmail.com,,
2120,2120,110010750837,1100107508,LABORATORIO BIOIMAGEN SOCIEDAD LTDA SEDE POLO,CR 24 NO 86 28,830016595,Sin Dato,Instituciones - IPS,Juridica,Privada,3008960112 - 3006975519,garantiadecalidad@bioimagen.com.co,,
2122,2122,110010750840,1100107508,LABORATORIO BIOIMAGEN LTDA AVENIDA 68,AV 68 NO 13 71 1 PISO,830016595,Sin Dato,Instituciones - IPS,Juridica,Privada,3008960112 - 3006975519,garantiadecalidad@bioimagen.com.co,,
2123,2123,110010750841,1100107508,LABORATORIO BIOIMAGEN LTDA NORMANDIA,CL 51 NO 72 17 1 PISO,830016595,Sin Dato,Instituciones - IPS,Juridica,Privada,3008960112 - 3006975519,garantiadecalidad@bioimagen.com.co,,
2125,2125,110010432504,1100104325,SALUD IPS ANTIGUO COUNTRY,KRA 16A 82-75 CONSUL 102,830043995,5300517,Instituciones - IPS,Juridica,Privada,2184949,lagos_raul@hotmail.com,,
2127,2127,110010561809,1100105618,Centro de Telesalud,Calle 119 No. 7-74 Segundo Piso Consultorio 5 y 6,860037950,Sin Dato,Instituciones - IPS,Juridica,Privada,6190280,roosevelt.fajardo@fsfb.edu.co,,
2131,2131,110012564001,1100125640,Medicina de Oriente,calle 106 49 - 15 PISO 1 CONSULTORIO 2,900450029,Sin Dato,Instituciones - IPS,Juridica,Privada,6354399 - 3156749493 - 3212138320,contacto@medicinadeoriente.com,,
2132,2132,110012565401,1100125654,Clinica Dhara,Cra 15# 83-33 PISO 4 Y 5,900067918,Sin Dato,Instituciones - IPS,Juridica,Privada,7456568,admdhara@yahoo.es,,
2136,2136,110012005302,1100120053,DENTAL EVIDENCE FLORESTA,CALLE 95 No 69A -36,900280797,Sin Dato,Instituciones - IPS,Juridica,Privada,6001197 - 3143313189,dentalevidence@yahoo.com,,
2138,2138,110012575401,1100125754,UNIDAD DE SALUD OCUPACIONAL NORTE,CALLE 82 No 19A-17 PISO 1,805002036,Sin Dato,Instituciones - IPS,Juridica,Privada,3003322,claudia.vega@unidadso.com.co,,
2153,2153,110012582701,1100125827,SOCIEDAD DE DIAGNOSTICO VISUAL SAS,AK 9 # 116 - 20 AP 502,900602873,Sin Dato,Instituciones - IPS,Juridica,Privada,2142130,info.sdvisual@gmail.com,,
2161,2161,110011364801,1100113648,CENTRO MEDICO DEPORTIVO SPINNING CENTER ROSALES LTDA,CALLE 69 N 5-05,830098843,Sin Dato,Instituciones - IPS,Juridica,Privada,7431480-3176613865,directorsalud@spinningcentergym.com,,
2163,2163,110012587001,1100125870,Mobility Group SAS,AC 80 No. 69 - 70 Apto 700,900592351,Sin Dato,Instituciones - IPS,Juridica,Privada,3113340,juanmejia68@hotmail.com,,
2167,2167,110010571115,1100105711,Sede Allianz COLCAN,AK 19 No 102-31 P1 CS10,800066001,744 75 55 ext. 2325,Instituciones - IPS,Juridica,Privada,744 75 55,colcan@cable.net.co,,
2170,2170,110012592101,1100125921,CAPF SPINNING CENTER GYM CAPITAL TOWERS,Avenida Calle 24 N° 51 - 40 SOTANO 1,900469107,3455041,Instituciones - IPS,Juridica,Privada,7450156,directorsalud@spinningcentergym.info,,
2171,2171,110012592401,1100125924,MALO CLINIC,Calle 90 No. 19 A 29,900550011,Sin Dato,Instituciones - IPS,Juridica,Privada,5220202,camila.pacheco@malonet.co,,
2174,2174,110012593501,1100125935,TERAMED SAS,TV 27 57 80,900641654,4660793,Instituciones - IPS,Juridica,Privada,4660792,teramedsas@gmail.com,,
2176,2176,110012594601,1100125946,UNIDAD DE RADIOLOGIA ORAL Y MAXILOFACIAL RADIDENT SAS,CL 106 # 56 - 76 AP 302,900648811,Sin Dato,Instituciones - IPS,Juridica,Privada,6552604,administracion@radident.co,,
2178,2178,110011717201,1100117172,INSTITUTO COLOMBIANO DE GENETICA Y ONCOLOGIA MOLECULAR LTDA/INCOGEM,KR 19 C #86 - 14 OFICINA 701-702-604,900118084,6914835,Instituciones - IPS,Juridica,Privada,6164902,incogem@yahoo.com,,
2180,2180,110010777502,1100107775,FUNDACION INSTITUTO COLOMBIANO DE INVESTIGACIONES OFTALMOLOGICAS,CALLE 66 # 9A - 12,860066358,57 (1) 2870026,Instituciones - IPS,Juridica,Privada,57 (1) 3100250 - 57 (1) 3100251,ficio1@hotmail.com,,
2191,2191,110012626801,1100126268,RPA SALUD OCUPACIONAL LTDA,KR 16 A # 75 65,900638732,Sin Dato,Instituciones - IPS,Juridica,Privada,3002725 3202449551,comercial@rpa.com.co,,
2193,2193,110010869403,1100108694,UNIMSALUD EJECUTIVA,CALLE 72 A No 20 C 55,830011008,Sin Dato,Instituciones - IPS,Juridica,Privada,2359599,coordcontable@unimsalud.com.co,,
2194,2194,110012627901,1100126279,ASSO LTDA ASESORIAS Y SERVICIOS EN SALUD OCUPACIONAL,CALLE 119 No 7-14 CS 702A -702B-702C-702D-702E,800017218,5703959,Instituciones - IPS,Juridica,Privada,6197780,saludocupacional@assoltda.com,,
2195,2195,110011694502,1100116945,SEDE A,DG 79 B # 71 B 56,900090186,4363500,Instituciones - IPS,Juridica,Privada,2237753,evr75@hotmail.com,,
2196,2196,110012628801,1100126288,Clinica del Pie y Spa S.A.S.,CL 95 # 49 22,900535503,Sin Dato,Instituciones - IPS,Juridica,Privada,4674390 / 4674391,clinicadelpieyspasas@gmail.com,,
2198,2198,110012636101,1100126361,PHENIX SALUD OCUPACIONAL,CLL 85 No. 49A-40,900544245,Sin Dato,Instituciones - IPS,Juridica,Privada,2567994,gerenciacomercialalianza@hotmail.com,,
2199,2199,110011378401,1100113784,NEUROCOUNTRY LTDA,CARRERA 16A No. 82-46 PISO 1,830145701,2960327,Instituciones - IPS,Juridica,Privada,7043483,neurocountry@gmail.com,,
2200,2200,110010936108,1100109361,CLINICA DE MARLY - REHABILITACION,CARRERA 13 No. 50A-04,860002541,3436600 EXT 2102,Instituciones - IPS,Juridica,Privada,3436600 EXT 1217,cmarly@marly.com.co,,
2202,2202,110011931704,1100119317,UNIDAD DE REHABILITACION INTEGRAL NORMANDIA,KRA 70 # 49-39,900241765,6385900,Instituciones - IPS,Juridica,Privada,6385900,GERENCIA@CUIDARTETUSALUD.COM,,
2208,2208,110012641801,1100126418,AMERICAN ASSIST HEALTHCARE SAS,CALLE 106 No. 56- 62- OFICINA 710,900515944,Sin Dato,Instituciones - IPS,Juridica,Privada,318570970,americanassisthealthcare@gmail.com,,
2209,2209,110012642501,1100126425,Elcosalud Imágenes Diagnosticas IPS,Cll 72 a N 86 49-60 Local 34 Piso 2,900450765,2529392,Instituciones - IPS,Juridica,Privada,2529392 / 2524642,elcosaludbogota@gmail.com,,
2213,2213,110012649001,1100126490,EFI CIENCIA OCUPACIONAL LTDA,CARRERA 20 A # 72 -09 OFICINA 201,900380757,Sin Dato,Instituciones - IPS,Juridica,Privada,7551993 7551994 3112281777,eficiencia.ocupacional@gmail.com,,
2220,2220,110012658501,1100126585,LUZ Y VIDA CENTRO MEDICO ALTERNATIVO,AC 53 No. 73 - 32 AP 100 1 PISO,900613029,7953200,Instituciones - IPS,Juridica,Privada,7953200,luzyvidacentronaturista@gmail.com,,
2222,2222,110012660001,1100126600,RED MEDICA IPS SAS,calle 92 No 60-40,900674225,Sin Dato,Instituciones - IPS,Juridica,Privada,6183656- 2577955,redmedicaipssas@hotmail.com,,
2224,2224,110012663501,1100126635,vidar centro de vacunacion sas,KR 16 # 82 74 OF 319,900664573,6919328,Instituciones - IPS,Juridica,Privada,3174372901,adrirodriguez727@hotmail.com,,
2226,2226,110012665601,1100126656,REFLECTIONS BODY CENTER HACIENDA SANTA BARBARA,Cll 114 No 6A-92 OF. D 507 CENTRO COMERCIAL HACIENDA SANTA BARBARA,900354265,Sin Dato,Instituciones - IPS,Juridica,Privada,5200952-4810046-3102216268,reflectionsbody@gmail.com,,
2227,2227,110012667201,1100126672,SERVICIOS QUIRURGICOS DE CABEZA Y CUELLO SAS,CARRERA 16 No. 84 A 09 CONST 712,900701992,Sin Dato,Instituciones - IPS,Juridica,Privada,6217552-6217541,jdefz2002@yahoo.com,,
2228,2228,110012667401,1100126674,"CENTRO DE INVESTIGACIÓN EN REUMATOLOGÍA Y ESPECIALIDADES MÉDICAS SAS ""CIREEM SAS""","CARRERA 12 NO 97 - 32 OF 201 CONSULTORIOS 201-1, 201-2, OFICINAS 301-403-404, DEPOSITO 3",900201836,6018862,Instituciones - IPS,Juridica,Privada,6018862 -3164679136,administracion@cireem.com.co,,
2229,2229,110011908606,1100119086,VIVA 1A IPS MARLY,calle 49 N° 13 -61,900219120,Sin Dato,Instituciones - IPS,Juridica,Privada,3173133965,lalvarez@viva1a.com.co,,
2237,2237,110010918649,1100109186,ODONTOSANITAS ZONA INDUSTRIAL,AC 13 NO. 65 21 LC 29,800149384,5948650,Instituciones - IPS,Juridica,Privada,5948650,sfiguero@colsanitas.com,,
2239,2239,110012671601,1100126716,LABORAL HEALTH SAS,CL 50 # 8 27 CS 507,900693544,Sin Dato,Instituciones - IPS,Juridica,Privada,3380993,jgquijano@laboralhealth.com,,
2242,2242,110012347104,1100123471,CLINICOS PROGRAMAS DE ATENCIÓN INTEGRAL S.A.S IPS,Cra. 49 No 93 -46,900496641,Sin Dato,Instituciones - IPS,Juridica,Privada,7460885,JORGE.MARQUEZ@CLINICOS.COM.CO,,
2254,2254,110012675301,1100126753,UNIDAD MEDICA LASER S A S,CALLE 23 Nº 66 - 46 INTERIOR 4 CONSULTORIOS 1212 1218,900412084,5702714,Instituciones - IPS,Juridica,Privada,2202700 EXT 71212 71218,biroto31@hotmail.com,,
2256,2256,110012676701,1100126767,ACOFOR LASER S.A.S,CALLE 119 Nº 7 - 14 CONS 414 - 415,900346465,Sin Dato,Instituciones - IPS,Juridica,Privada,6297355 - 6297352 - 2139287,acoforlaser2010@gmail.com,,
2261,2261,110012533902,1100125339,CINDOLOR 403,CARRERA 16 No. 82-29 Consultorio 403,900606412,Sin Dato,Instituciones - IPS,Juridica,Privada,2960540,centrocindolor@gmail.com,,
2262,2262,110012683101,1100126831,ARMONIA LASER IPS SAS,Calle 116 No 9-72 Cons. 208,900668330,Sin Dato,Instituciones - IPS,Juridica,Privada,2131403,fabian5g@hotmail.com,,
2264,2264,110012684101,1100126841,BALMEC SAS,CL 50 # 13- 62 CS 607,900665589,7002219,Instituciones - IPS,Juridica,Privada,7002219- 3153932419,balmecsas@gmail.com,,
2265,2265,110011975904,1100119759,LABORATORIO CLINICO ESPECIALIZADO EXAMENES Y DIAGNOSTICOS S.A.,CR. 19A No. 82-85 CS.209,900263700,6913296,Instituciones - IPS,Juridica,Privada,6913296,hprieto@examenesydiagnosticos.com,,
2268,2268,110011792908,1100117929,TERAPIAS DEL NORTE ANDAR,AC 80 NO 69 H 31,900123162,Sin Dato,Instituciones - IPS,Juridica,Privada,6600800,ANDARCASAMATRIZ@GMAIL.COM,,
2269,2269,110011944002,1100119440,Certificar.org Salitre,Av carrera 68 # 45-64,900234969,Sin Dato,Instituciones - IPS,Juridica,Privada,3106974523,certificar.orgsalitre@gmail.com,,
2271,2271,110011923907,1100119239,INSTITUTO DE RECONOCIMIENTO DE PERSONAS IRP PASADENA,AVENIDA CRA 45 (AUTOPISTA NORTE) # 105 - 27,900234050,2715769,Instituciones - IPS,Juridica,Privada,2715769,centrosirp@gmail.com,,
2273,2273,110012688101,1100126881,GRUPO EMPRESARIAL ALIANZA ESTRATEGICA EN SALUD OCUPACIONAL SAS- GRUPO EMPRESARIAL ALESO SAS,CALLE 63 No. 11-45 AP 303 OF 303,900658333,4661243,Instituciones - IPS,Juridica,Privada,4661243,gerenciaaleso@gmail.com,,
2277,2277,110012689101,1100126891,INSTITUTO DE OSTEOPOROSIS SAS,Av. Boyaca No. 54 A - 15,900568615,4162481,Instituciones - IPS,Juridica,Privada,4162481-8052353,agendainor@hotmail.com,,
2279,2279,110012690301,1100126903,ODONTOIMAGEN HAYUELOS BOGOTA,CALLE 20 NO 82-52 CC COMERCIAL HAYUELOS LOCAL 2-84,900136892,7035281,Instituciones - IPS,Juridica,Privada,7035281,GERENCIA@ODONTOIMAGENDELCARIBE.COM,,
2280,2280,110012691001,1100126910,NASSER JALAFF MEDICAL WELLNESS,CR 47 Nº94-44. PISO 2,900710234,Sin Dato,Instituciones - IPS,Juridica,Privada,3115338576,nasserjalaffmedicalwellness@outlook.es,,
2281,2281,110012691701,1100126917,Colcuidar Sociedad por acciones simplificada en decir COLCUIDAR SAS,Calle 22 B # 66-46 Cons.504,900440926,Sin Dato,Instituciones - IPS,Juridica,Privada,3 15 59 17 / 313 8 35 78 45,colcuidar@gmail.com,,
2282,2282,110012692001,1100126920,JAVIER MARQUEZ FABRICA DE SONRISAS,CRA 69 No 24 C 51 LOCAL 3,900731893,Sin Dato,Instituciones - IPS,Juridica,Privada,7031333,alonmarquez@yahoo.com,,
2285,2285,110012025602,1100120256,MEDICAL PROTECTION LTDA SALUD OCUPACIONAL,CALLE 71 # 13-63,900170405,Sin Dato,Instituciones - IPS,Juridica,Privada,7953260/ 7953269,medicalprotection@gmail.com,,
2292,2292,110011636907,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CARRERA 13 N 58 82,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2296,2296,110011636911,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CARRERA 23 No. 53-10,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2300,2300,110011636916,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CALLE 72 No. 9 - 29,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2302,2302,110011636919,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CARRERA 11 No 84 - 09 Local. 7,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2304,2304,110011636921,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CARRERA 15 No 93 - 60 Local. 117,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2308,2308,110011636925,1100116369,OPTICAS GMO COLOMBIA S.A.S.,AK 72 # 80-94 Local 2-014 2-014A,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2310,2310,110011636927,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CARRERA 15 No. 84 - 36,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2311,2311,110011636928,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CARREA 68B No. 24-39 Local 2-60,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2312,2312,110011636929,1100116369,OPTICAS GMO COLOMBIA S.A.S.,CARREA 68B No. 24-39 Local 2-28,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
2321,2321,110011908701,1100119087,GIMNASIO GOLEMAN,CARRERA 35 BIS 58 83 INT 1,900231829,Sin Dato,Instituciones - IPS,Juridica,Privada,753 17 51,golleman@hotmail.com,,
2322,2322,110012709901,1100127099,ART MEDICA S.A.S BOGOTA,"trasversal 27a # 53b -96 Piso 1 Consultorio 1, sala de procedimientos menores, Piso 2 Consultorio 2,Consultorio 3, Consultorio 4,Consultorio 5,Consultorio 6.",900298928,Sin Dato,Instituciones - IPS,Juridica,Privada,6062057,artmedicabogota@gmail.com,,
2324,2324,110011908703,1100119087,GIMNASIO GOLEMAN,CARRERA 35BIS NO 58 69,900231829,Sin Dato,Instituciones - IPS,Juridica,Privada,7531751,golleman@hotmail.com,,
2325,2325,110011908704,1100119087,GIMNASIO GOLEMAN,CARRERA 35 BIS 58 91,900231829,Sin Dato,Instituciones - IPS,Juridica,Privada,7531751,golleman@hotmail.com,,
2329,2329,110011530802,1100115308,CLINICA ODONTOLOGICA CLINI STETIC DOS,"CALLE 57 No. 16-03 CS 1-2-3-4 Primer Piso, 10-11 Segundo Piso, 17-18 Tercer Piso.",830137350,347 8514,Instituciones - IPS,Juridica,Privada,249 4920 - 210 4868,clinistetic1@hotmail.com,,
2330,2330,110011067723,1100110677,DENTISALUD CHAPINERO,CR 9 No. 60-09 AP 201,830010671,7459010,Instituciones - IPS,Juridica,Privada,5406004,servicio.cliente@dentisalud.com.co,,
2336,2336,110012384526,1100123845,Multiopticas,CR 15 NO. 91 - 50,900407148,3112104389,Instituciones - IPS,Juridica,Privada,6359941,daianna.munoz@lafam.com.co,,
2341,2341,110012384531,1100123845,LAFAM OPTICAS,CL 82 NO. 11 - 75 LC 113 CC EL RETIRO,900407148,3112104389,Instituciones - IPS,Juridica,Privada,3764137,daianna.munoz@lafam.com.co,,
2342,2342,110012384532,1100123845,LAFAM OPTICAS,CL 73 NO. 10 - 83 LC - 128 CC AV CHILE,900407148,3112104389,Instituciones - IPS,Juridica,Privada,3128897,daianna.munoz@lafam.com.co,,
2343,2343,110012384533,1100123845,LAFAM OPTICAS,CL 20 NO. 82 - 52 L 1 - 88 CC HAYUELOS,900407148,3112104389,Instituciones - IPS,Juridica,Privada,3546123,daianna.munoz@lafam.com.co,,
2344,2344,110012384534,1100123845,LAFAM OPTICAS,AK 72 NO. 80 - 94 LC 1-059 CC TITAN PLAZA,900407148,3112104389,Instituciones - IPS,Juridica,Privada,7362065,daianna.munoz@lafam.com.co,,
2346,2346,110012384536,1100123845,LAFAM OPTICAS,AV 68 NO. 75A - 50 LC 163 CC METROPOLIS,900407148,3112104389,Instituciones - IPS,Juridica,Privada,2259339,daianna.munoz@lafam.com.co,,
2348,2348,110012384538,1100123845,LAFAM OPTICAS,CL 26 NO. 62 47 CC GRAN ESTACION LC 1-72,900407148,3112104389,Instituciones - IPS,Juridica,Privada,5722799,daianna.munoz@lafam.com.co,,
2365,2365,110012731701,1100127317,ARCOIRIS DE ESPERANZA S.A.S,carrera 72 a nro 8 b -62 int 2,900738204,Sin Dato,Instituciones - IPS,Juridica,Privada,3107732715/3143692116/8008323,centroarcoirisdeesperanza@gmail.com,,
2368,2368,110012734401,1100127344,FISIORAD SAS,calle 66 9A-28,900738441,Sin Dato,Instituciones - IPS,Juridica,Privada,5412045-4323929-3133122549,fisioradips@gmail.com,,
2369,2369,110012734601,1100127346,LABORATORIO CLINICO E INMUNOLOGICO LORENA VEJARANO IPS BOGOTA,Calle 25G # 85B-89,900435146,Sin Dato,Instituciones - IPS,Juridica,Privada,3503047126,gerenciacentral@lorenavejarano.com,,
2373,2373,110012737001,1100127370,CENTRO DE EXPERTOS PARA LA ATENCION INTEGRAL IPS SAS SIGLA CEPAIN IPS SAS,CARRERA 69 # 98A -11 Local 111,900772053,Sin Dato,Instituciones - IPS,Juridica,Privada,3123232709,dmmoscotec@cepain.com.co,,
2374,2374,110012737301,1100127373,COTIDIANO Y FAMILIAR INSTITUCIÓN PRESTADORA EN SERVICIOS DE SALUD SAS CYF IPS SAS,AC 57 25 16 Piso 1,900727259,Sin Dato,Instituciones - IPS,Juridica,Privada,3146001282/ 5482906,contacto@cotidianoyfamiliar.com.co,,
